customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST10000,Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,50.9,1087.19,Yes
CUST10001,Female,0,Yes,No,39,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,43.86,1776.72,No
CUST10002,Female,0,No,No,34,Yes,Yes,No,No,No,No,No,No,Two year,No,Mailed check,18.22,635.95,No
CUST10003,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.99,311.86,Yes
CUST10004,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Month-to-month,No,Electronic check,43.55,155.56,Yes
CUST10005,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,One year,No,Electronic check,70.31,584.93,No
CUST10006,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,No,No,No,Two year,Yes,Electronic check,55.49,605.99,No
CUST10007,Female,0,No,Yes,12,Yes,No,DSL,No,No,No,Yes,Yes,Two year,Yes,Mailed check,49.54,655.37,Yes
CUST10008,Female,0,Yes,No,27,Yes,No,DSL,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,47.43,1320.63,No
CUST10009,Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,33.47,82.32,No
CUST10010,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,No,Yes,No,Yes,One year,No,Electronic check,56.4,62.11027296176123,No
CUST10011,Female,1,Yes,No,11,Yes,Yes,No,No,No,No,No,No,One year,No,Electronic check,14.13,157.64,No
CUST10012,Female,1,No,No,28,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card,54.76,1585.95,No
CUST10013,Male,0,Yes,No,5,Yes,No,DSL,No,No,No,No,Yes,Month-to-month,No,Mailed check,39.1,229.28,No
CUST10014,Male,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Two year,Yes,Credit card,54.43,1366.71,Yes
CUST10015,Male,1,Yes,No,7,Yes,Yes,No,No,No,No,No,No,One year,Yes,Credit card,28.06,223.97,Yes
CUST10016,Male,0,Yes,No,52,Yes,No,DSL,No,No,No,No,No,Two year,No,Mailed check,43.57,2315.49,No
CUST10017,Female,0,No,No,54,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,51.82,2847.19,Yes
CUST10018,Male,1,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,No,Electronic check,62.77,558.28,No
CUST10019,Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,61.53,424.87,No
CUST10020,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,One year,No,Electronic check,46.87,629.76,Yes
CUST10021,Male,0,No,No,6,Yes,Yes,No,No,No,No,No,No,Two year,Yes,Credit card,17.8,126.85,No
CUST10022,Male,1,No,No,26,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,14.28,365.72,No
CUST10023,Male,1,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,Yes,One year,Yes,Bank transfer,60.33,2528.66,No
CUST10024,Male,1,Yes,Yes,26,No,No,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.4,1685.77,Yes
CUST10025,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Credit card,61.64,2607.33,No
CUST10026,Male,0,No,No,12,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,55.05,725.94,Yes
CUST10027,Female,0,No,No,4,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,11.58,48.68,No
CUST10028,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,47.07,1577.49,No
CUST10029,Male,0,No,No,10,Yes,No,DSL,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,51.76,569.05,No
CUST10030,Female,0,Yes,Yes,26,Yes,No,Fiber optic,,No,No,No,No,Month-to-month,Yes,Bank transfer,62.93,1711.57,Yes
CUST10031,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card,45.43,351.89,No
CUST10032,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,72.58,193.76,Yes
CUST10033,Female,0,No,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card,60.22,4381.98,Yes
CUST10034,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,67.22,303.6,No
CUST10035,Female,0,Yes,No,72,Yes,No,No,No,No,No,No,No,One year,No,Credit card,27.12,2000.88,No
CUST10036,Male,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.89,4009.12,No
CUST10037,Male,0,Yes,No,37,No,No,Fiber optic,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,70.7,2677.35,No
CUST10038,Female,0,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,No,Yes,No,One year,Yes,Credit card,62.88,1639.41,Yes
CUST10039,Male,0,Yes,No,20,No,No,Fiber optic,Yes,No,No,Yes,No,Two year,Yes,Mailed check,64.68,1360.17,No
CUST10040,Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.33,3256.38,Yes
CUST10041,Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,One year,Yes,Electronic check,56.46,520.24,Yes
CUST10042,Male,0,No,Yes,15,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Two year,No,Electronic check,64.16,1023.66,No
CUST10043,Female,0,Yes,No,23,Yes,No,DSL,Yes,No,No,No,No,Two year,Yes,Bank transfer,34.75,825.2,No
CUST10044,Male,1,No,No,12,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,19.55,262.43,No
CUST10045,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,One year,Yes,Mailed check,50.28,711.94,No
CUST10046,Male,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,63.95,640.51,Yes
CUST10047,Female,0,No,No,19,Yes,No,DSL,No,No,No,No,Yes,One year,Yes,Mailed check,47.02,962.18,No
CUST10048,Female,0,No,No,45,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,53.61,2461.68,Yes
CUST10049,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.5,312.0,Yes
CUST10050,Female,0,No,Yes,65,Yes,No,No,No,No,No,No,No,Two year,No,Credit card,24.78,1639.66,No
CUST10051,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Bank transfer,55.88,1613.77,No
CUST10052,Female,1,Yes,No,41,Yes,No,No,No,No,No,No,No,Two year,No,Electronic check,25.86,1091.08,No
CUST10053,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Credit card,64.04,1272.47,No
CUST10054,Female,1,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,56.43,2083.91,Yes
CUST10055,Female,0,No,No,0,Yes,No,DSL,No,Yes,No,No,No,One year,No,Bank transfer,46.38,43.679304802681955,No
CUST10056,Male,0,No,No,40,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,22.18,905.32,No
CUST10057,Male,0,Yes,Yes,0,Yes,No,DSL,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,47.72,42.92542954997006,Yes
CUST10058,Male,0,No,Yes,52,Yes,Yes,No,No,No,No,No,No,Two year,Yes,Electronic check,29.42,1570.97,Yes
CUST10059,Male,0,No,No,72,Yes,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.07,1527.6,No
CUST10060,Male,0,Yes,No,8,No,No,No,No,No,No,,No,One year,No,Electronic check,17.31,148.86,Yes
CUST10061,Male,1,No,Yes,5,No,No,Fiber optic,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,62.88,383.05,No
